2024-02-05 13:25:38.596298: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer.so.6'; dlerror: libnvinfer.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cudnn/cuda-11.3/8.2.0/lib64:/usr/local/cuda-11.1/lib64
2024-02-05 13:25:38.596395: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer_plugin.so.6'; dlerror: libnvinfer_plugin.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cudnn/cuda-11.3/8.2.0/lib64:/usr/local/cuda-11.1/lib64
2024-02-05 13:25:38.596403: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:30] Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
2024-02-05 13:25:41.169140: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcuda.so.1
2024-02-05 13:25:41.217861: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1555] Found device 0 with properties: 
pciBusID: 0000:17:00.0 name: NVIDIA A100 80GB PCIe MIG 1g.10gb computeCapability: 8.0
coreClock: 1.41GHz coreCount: 14 deviceMemorySize: 9.50GiB deviceMemoryBandwidth: 225.30GiB/s
2024-02-05 13:25:41.218022: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcudart.so.10.1'; dlerror: libcudart.so.10.1: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cudnn/cuda-11.3/8.2.0/lib64:/usr/local/cuda-11.1/lib64
2024-02-05 13:25:41.220000: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10
2024-02-05 13:25:41.220849: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcufft.so.10
2024-02-05 13:25:41.221083: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcurand.so.10
2024-02-05 13:25:41.222704: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcusolver.so.10
2024-02-05 13:25:41.223496: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcusparse.so.10
2024-02-05 13:25:41.223597: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcudnn.so.7'; dlerror: libcudnn.so.7: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cudnn/cuda-11.3/8.2.0/lib64:/usr/local/cuda-11.1/lib64
2024-02-05 13:25:41.223604: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1592] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
2024-02-05 13:25:41.236927: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 AVX512F FMA
2024-02-05 13:25:41.253508: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2800000000 Hz
2024-02-05 13:25:41.253639: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x55bb4c6cdd50 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
2024-02-05 13:25:41.253646: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): Host, Default Version
2024-02-05 13:25:41.309871: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x55bb4c1c82e0 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2024-02-05 13:25:41.309895: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): NVIDIA A100 80GB PCIe MIG 1g.10gb, Compute Capability 8.0
2024-02-05 13:25:41.309989: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1096] Device interconnect StreamExecutor with strength 1 edge matrix:
2024-02-05 13:25:41.309999: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1102]      
=======> train step: 960000, lr: 0.000010, total_loss: 18.59,                  box_loss: 2.67, conf_loss: 15.38, category_loss: 0.55
=======> train step: 960035, lr: 0.000010, total_loss: 3.33,                  box_loss: 2.55, conf_loss: 0.35, category_loss: 0.43
=======> train step: 960036, lr: 0.000010, total_loss: 1.84,                  box_loss: 1.13, conf_loss: 0.44, category_loss: 0.26
=======> train step: 960037, lr: 0.000010, total_loss: 2.06,                  box_loss: 1.45, conf_loss: 0.24, category_loss: 0.37
=======> train step: 960038, lr: 0.000010, total_loss: 2.70,                  box_loss: 1.86, conf_loss: 0.32, category_loss: 0.52
=======> train step: 960039, lr: 0.000010, total_loss: 3.23,                  box_loss: 2.24, conf_loss: 0.45, category_loss: 0.53
=======> train step: 960040, lr: 0.000010, total_loss: 1.53,                  box_loss: 1.12, conf_loss: 0.22, category_loss: 0.20
=======> train step: 960041, lr: 0.000010, total_loss: 3.94,                  box_loss: 3.06, conf_loss: 0.20, category_loss: 0.69
=======> train step: 960042, lr: 0.000010, total_loss: 2.66,                  box_loss: 2.00, conf_loss: 0.21, category_loss: 0.46
=======> train step: 960043, lr: 0.000010, total_loss: 2.50,                  box_loss: 1.94, conf_loss: 0.26, category_loss: 0.31
=======> train step: 960044, lr: 0.000010, total_loss: 2.35,                  box_loss: 1.98, conf_loss: 0.15, category_loss: 0.21
=======> train step: 960045, lr: 0.000010, total_loss: 2.61,                  box_loss: 2.01, conf_loss: 0.25, category_loss: 0.35
=======> train step: 960046, lr: 0.000010, total_loss: 2.09,                  box_loss: 1.44, conf_loss: 0.31, category_loss: 0.35
=======> train step: 960047, lr: 0.000010, total_loss: 3.14,                  box_loss: 2.52, conf_loss: 0.17, category_loss: 0.45
=======> train step: 960048, lr: 0.000010, total_loss: 4.44,                  box_loss: 3.44, conf_loss: 0.39, category_loss: 0.60
=======> train step: 960049, lr: 0.000010, total_loss: 1.38,                  box_loss: 0.92, conf_loss: 0.21, category_loss: 0.25
=======> train step: 960050, lr: 0.000010, total_loss: 2.39,                  box_loss: 1.72, conf_loss: 0.38, category_loss: 0.29
=======> train step: 960051, lr: 0.000010, total_loss: 1.58,                  box_loss: 1.04, conf_loss: 0.21, category_loss: 0.33
=======> train step: 960052, lr: 0.000010, total_loss: 4.98,                  box_loss: 4.06, conf_loss: 0.18, category_loss: 0.73
=======> train step: 960053, lr: 0.000010, total_loss: 2.54,                  box_loss: 1.92, conf_loss: 0.22, category_loss: 0.40
=======> train step: 960054, lr: 0.000010, total_loss: 3.29,                  box_loss: 2.53, conf_loss: 0.26, category_loss: 0.50
=======> train step: 960055, lr: 0.000010, total_loss: 2.40,                  box_loss: 1.96, conf_loss: 0.19, category_loss: 0.25
=======> train step: 960056, lr: 0.000010, total_loss: 2.96,                  box_loss: 2.20, conf_loss: 0.16, category_loss: 0.60
=======> train step: 960057, lr: 0.000010, total_loss: 3.25,                  box_loss: 2.55, conf_loss: 0.23, category_loss: 0.47
=======> train step: 960058, lr: 0.000010, total_loss: 1.88,                  box_loss: 1.54, conf_loss: 0.15, category_loss: 0.19
=======> train step: 960059, lr: 0.000010, total_loss: 2.33,                  box_loss: 1.83, conf_loss: 0.14, category_loss: 0.36
=======> train step: 960060, lr: 0.000010, total_loss: 1.89,                  box_loss: 1.40, conf_loss: 0.13, category_loss: 0.37
=======> train step: 960061, lr: 0.000010, total_loss: 1.33,                  box_loss: 0.96, conf_loss: 0.20, category_loss: 0.17
=======> train step: 960062, lr: 0.000010, total_loss: 3.35,                  box_loss: 2.68, conf_loss: 0.23, category_loss: 0.44
=======> train step: 960063, lr: 0.000010, total_loss: 2.55,                  box_loss: 2.14, conf_loss: 0.17, category_loss: 0.24
=======> train step: 960064, lr: 0.000010, total_loss: 2.17,                  box_loss: 1.64, conf_loss: 0.28, category_loss: 0.25
=======> train step: 960065, lr: 0.000010, total_loss: 3.20,                  box_loss: 2.62, conf_loss: 0.15, category_loss: 0.43
=======> train step: 960066, lr: 0.000010, total_loss: 2.46,                  box_loss: 1.95, conf_loss: 0.27, category_loss: 0.24
=======> train step: 960067, lr: 0.000010, total_loss: 3.16,                  box_loss: 2.44, conf_loss: 0.15, category_loss: 0.57
=======> train step: 960068, lr: 0.000010, total_loss: 2.19,                  box_loss: 1.84, conf_loss: 0.15, category_loss: 0.20
=======> train step: 960069, lr: 0.000010, total_loss: 2.16,                  box_loss: 1.65, conf_loss: 0.13, category_loss: 0.38
=======> train step: 960070, lr: 0.000010, total_loss: 2.78,                  box_loss: 2.20, conf_loss: 0.19, category_loss: 0.39
=======> train step: 960071, lr: 0.000010, total_loss: 1.83,                  box_loss: 1.29, conf_loss: 0.15, category_loss: 0.39
=======> train step: 960072, lr: 0.000010, total_loss: 3.57,                  box_loss: 2.78, conf_loss: 0.17, category_loss: 0.62
=======> train step: 960073, lr: 0.000010, total_loss: 2.35,                  box_loss: 1.77, conf_loss: 0.15, category_loss: 0.44
=======> train step: 960074, lr: 0.000010, total_loss: 3.33,                  box_loss: 2.59, conf_loss: 0.21, category_loss: 0.53
=======> train step: 960075, lr: 0.000010, total_loss: 3.56,                  box_loss: 2.87, conf_loss: 0.22, category_loss: 0.47
=======> train step: 960076, lr: 0.000010, total_loss: 2.32,                  box_loss: 1.77, conf_loss: 0.18, category_loss: 0.37
=======> train step: 960077, lr: 0.000010, total_loss: 1.30,                  box_loss: 1.03, conf_loss: 0.12, category_loss: 0.15
=======> train step: 960078, lr: 0.000010, total_loss: 1.41,                  box_loss: 1.09, conf_loss: 0.15, category_loss: 0.17
=======> train step: 960079, lr: 0.000010, total_loss: 1.30,                  box_loss: 1.05, conf_loss: 0.12, category_loss: 0.13
=======> train step: 960080, lr: 0.000010, total_loss: 1.57,                  box_loss: 1.30, conf_loss: 0.12, category_loss: 0.15
=======> train step: 960081, lr: 0.000010, total_loss: 2.25,                  box_loss: 1.66, conf_loss: 0.17, category_loss: 0.42
=======> train step: 960082, lr: 0.000010, total_loss: 1.47,                  box_loss: 1.17, conf_loss: 0.19, category_loss: 0.11
=======> train step: 960083, lr: 0.000010, total_loss: 3.07,                  box_loss: 2.41, conf_loss: 0.22, category_loss: 0.44
=======> train step: 960084, lr: 0.000010, total_loss: 1.86,                  box_loss: 1.39, conf_loss: 0.13, category_loss: 0.34
=======> train step: 960085, lr: 0.000010, total_loss: 2.60,                  box_loss: 2.07, conf_loss: 0.15, category_loss: 0.37
=======> train step: 960086, lr: 0.000010, total_loss: 1.06,                  box_loss: 0.80, conf_loss: 0.13, category_loss: 0.12
=======> train step: 960087, lr: 0.000010, total_loss: 3.88,                  box_loss: 3.05, conf_loss: 0.17, category_loss: 0.66
=======> train step: 960088, lr: 0.000010, total_loss: 2.11,                  box_loss: 1.67, conf_loss: 0.21, category_loss: 0.23
=======> train step: 960089, lr: 0.000010, total_loss: 1.12,                  box_loss: 0.80, conf_loss: 0.14, category_loss: 0.18
=======> train step: 960090, lr: 0.000010, total_loss: 3.08,                  box_loss: 2.52, conf_loss: 0.16, category_loss: 0.40
=======> train step: 960091, lr: 0.000010, total_loss: 1.61,                  box_loss: 1.26, conf_loss: 0.18, category_loss: 0.18
=======> train step: 960092, lr: 0.000010, total_loss: 2.11,                  box_loss: 1.54, conf_loss: 0.15, category_loss: 0.43
=======> train step: 960093, lr: 0.000010, total_loss: 1.68,                  box_loss: 1.21, conf_loss: 0.16, category_loss: 0.31
=======> train step: 960094, lr: 0.000010, total_loss: 3.44,                  box_loss: 2.73, conf_loss: 0.13, category_loss: 0.57
=======> train step: 960095, lr: 0.000010, total_loss: 1.59,                  box_loss: 1.27, conf_loss: 0.19, category_loss: 0.14
=======> train step: 960096, lr: 0.000010, total_loss: 2.77,                  box_loss: 2.20, conf_loss: 0.15, category_loss: 0.42
=======> train step: 960097, lr: 0.000010, total_loss: 3.62,                  box_loss: 2.95, conf_loss: 0.28, category_loss: 0.39
=======> train step: 960098, lr: 0.000010, total_loss: 2.20,                  box_loss: 1.98, conf_loss: 0.10, category_loss: 0.13
=======> train step: 960099, lr: 0.000010, total_loss: 1.22,                  box_loss: 0.95, conf_loss: 0.12, category_loss: 0.16
=======> train step: 960100, lr: 0.000010, total_loss: 1.84,                  box_loss: 1.41, conf_loss: 0.08, category_loss: 0.35
=======> train step: 960101, lr: 0.000010, total_loss: 1.03,                  box_loss: 0.82, conf_loss: 0.10, category_loss: 0.11
=======> train step: 960102, lr: 0.000010, total_loss: 1.53,                  box_loss: 1.26, conf_loss: 0.14, category_loss: 0.13
=======> train step: 960103, lr: 0.000010, total_loss: 2.86,                  box_loss: 2.37, conf_loss: 0.10, category_loss: 0.38
=======> train step: 960104, lr: 0.000010, total_loss: 1.01,                  box_loss: 0.76, conf_loss: 0.13, category_loss: 0.12
=======> train step: 960105, lr: 0.000010, total_loss: 3.00,                  box_loss: 2.32, conf_loss: 0.29, category_loss: 0.38
=======> train step: 960106, lr: 0.000010, total_loss: 1.76,                  box_loss: 1.33, conf_loss: 0.09, category_loss: 0.33
=======> train step: 960107, lr: 0.000010, total_loss: 2.52,                  box_loss: 1.85, conf_loss: 0.12, category_loss: 0.55
=======> train step: 960108, lr: 0.000010, total_loss: 0.49,                  box_loss: 0.33, conf_loss: 0.09, category_loss: 0.06
=======> train step: 960109, lr: 0.000010, total_loss: 2.46,                  box_loss: 2.18, conf_loss: 0.12, category_loss: 0.16
=======> train step: 960110, lr: 0.000010, total_loss: 1.77,                  box_loss: 1.49, conf_loss: 0.12, category_loss: 0.16
=======> train step: 960111, lr: 0.000010, total_loss: 2.81,                  box_loss: 2.33, conf_loss: 0.10, category_loss: 0.38
=======> train step: 960112, lr: 0.000010, total_loss: 3.58,                  box_loss: 2.90, conf_loss: 0.22, category_loss: 0.46
=======> train step: 960113, lr: 0.000010, total_loss: 0.53,                  box_loss: 0.33, conf_loss: 0.11, category_loss: 0.08
=======> train step: 960114, lr: 0.000010, total_loss: 2.48,                  box_loss: 1.79, conf_loss: 0.12, category_loss: 0.57
=======> train step: 960115, lr: 0.000010, total_loss: 2.04,                  box_loss: 1.60, conf_loss: 0.11, category_loss: 0.33
=======> train step: 960116, lr: 0.000010, total_loss: 1.39,                  box_loss: 1.12, conf_loss: 0.14, category_loss: 0.14
=======> train step: 960117, lr: 0.000010, total_loss: 2.35,                  box_loss: 2.01, conf_loss: 0.15, category_loss: 0.19
=======> train step: 960118, lr: 0.000010, total_loss: 2.78,                  box_loss: 2.10, conf_loss: 0.10, category_loss: 0.58
=======> train step: 960119, lr: 0.000010, total_loss: 1.91,                  box_loss: 1.64, conf_loss: 0.11, category_loss: 0.16
=======> train step: 960120, lr: 0.000010, total_loss: 2.92,                  box_loss: 2.35, conf_loss: 0.17, category_loss: 0.40
=======> train step: 960121, lr: 0.000010, total_loss: 3.19,                  box_loss: 2.61, conf_loss: 0.15, category_loss: 0.42
=======> train step: 960122, lr: 0.000010, total_loss: 4.24,                  box_loss: 3.54, conf_loss: 0.09, category_loss: 0.61
=======> train step: 960123, lr: 0.000010, total_loss: 2.60,                  box_loss: 2.06, conf_loss: 0.14, category_loss: 0.39
=======> train step: 960124, lr: 0.000010, total_loss: 1.81,                  box_loss: 1.53, conf_loss: 0.15, category_loss: 0.13
=======> train step: 960125, lr: 0.000010, total_loss: 2.04,                  box_loss: 1.74, conf_loss: 0.12, category_loss: 0.19
=======> train step: 960126, lr: 0.000010, total_loss: 1.51,                  box_loss: 1.09, conf_loss: 0.11, category_loss: 0.30
=======> train step: 960127, lr: 0.000010, total_loss: 2.35,                  box_loss: 1.73, conf_loss: 0.07, category_loss: 0.55
=======> train step: 960128, lr: 0.000010, total_loss: 2.16,                  box_loss: 1.71, conf_loss: 0.11, category_loss: 0.34
=======> train step: 960129, lr: 0.000010, total_loss: 2.07,                  box_loss: 1.82, conf_loss: 0.10, category_loss: 0.14
=======> train step: 960130, lr: 0.000010, total_loss: 1.07,                  box_loss: 0.82, conf_loss: 0.14, category_loss: 0.11
=======> train step: 960131, lr: 0.000010, total_loss: 2.16,                  box_loss: 1.75, conf_loss: 0.10, category_loss: 0.31
=======> train step: 960132, lr: 0.000010, total_loss: 1.95,                  box_loss: 1.49, conf_loss: 0.12, category_loss: 0.34
=======> train step: 960133, lr: 0.000010, total_loss: 1.18,                  box_loss: 0.99, conf_loss: 0.10, category_loss: 0.09
=======> train step: 960134, lr: 0.000010, total_loss: 0.96,                  box_loss: 0.61, conf_loss: 0.08, category_loss: 0.28
=======> train step: 960135, lr: 0.000010, total_loss: 1.41,                  box_loss: 1.19, conf_loss: 0.14, category_loss: 0.08
=======> train step: 960136, lr: 0.000010, total_loss: 2.27,                  box_loss: 2.01, conf_loss: 0.10, category_loss: 0.16
=======> train step: 960137, lr: 0.000010, total_loss: 2.31,                  box_loss: 1.71, conf_loss: 0.06, category_loss: 0.53
=======> train step: 960138, lr: 0.000010, total_loss: 1.55,                  box_loss: 1.27, conf_loss: 0.14, category_loss: 0.15
=======> train step: 960139, lr: 0.000010, total_loss: 1.97,                  box_loss: 1.56, conf_loss: 0.09, category_loss: 0.31
=======> train step: 960140, lr: 0.000010, total_loss: 2.24,                  box_loss: 2.05, conf_loss: 0.09, category_loss: 0.10
=======> train step: 960141, lr: 0.000010, total_loss: 2.18,                  box_loss: 1.77, conf_loss: 0.10, category_loss: 0.31
=======> train step: 960142, lr: 0.000010, total_loss: 2.77,                  box_loss: 2.12, conf_loss: 0.07, category_loss: 0.58
=======> train step: 960143, lr: 0.000010, total_loss: 1.93,                  box_loss: 1.41, conf_loss: 0.16, category_loss: 0.35
=======> train step: 960144, lr: 0.000010, total_loss: 1.24,                  box_loss: 0.96, conf_loss: 0.16, category_loss: 0.11
=======> train step: 960145, lr: 0.000010, total_loss: 0.37,                  box_loss: 0.23, conf_loss: 0.08, category_loss: 0.06
=======> train step: 960146, lr: 0.000010, total_loss: 1.94,                  box_loss: 1.62, conf_loss: 0.20, category_loss: 0.13
=======> train step: 960147, lr: 0.000010, total_loss: 2.02,                  box_loss: 1.71, conf_loss: 0.14, category_loss: 0.17
=======> train step: 960148, lr: 0.000010, total_loss: 1.88,                  box_loss: 1.43, conf_loss: 0.12, category_loss: 0.32
=======> train step: 960149, lr: 0.000010, total_loss: 1.52,                  box_loss: 1.07, conf_loss: 0.13, category_loss: 0.31
=======> train step: 960150, lr: 0.000010, total_loss: 1.70,                  box_loss: 1.24, conf_loss: 0.11, category_loss: 0.35
=======> train step: 960151, lr: 0.000010, total_loss: 2.62,                  box_loss: 2.13, conf_loss: 0.13, category_loss: 0.36
=======> train step: 960152, lr: 0.000010, total_loss: 1.30,                  box_loss: 1.06, conf_loss: 0.13, category_loss: 0.11
=======> train step: 960153, lr: 0.000010, total_loss: 3.92,                  box_loss: 3.20, conf_loss: 0.11, category_loss: 0.61
=======> train step: 960154, lr: 0.000010, total_loss: 2.34,                  box_loss: 1.82, conf_loss: 0.15, category_loss: 0.38
=======> train step: 960155, lr: 0.000010, total_loss: 1.40,                  box_loss: 1.18, conf_loss: 0.13, category_loss: 0.10
=======> train step: 960156, lr: 0.000010, total_loss: 1.54,                  box_loss: 1.06, conf_loss: 0.14, category_loss: 0.35
=======> train step: 960157, lr: 0.000010, total_loss: 1.31,                  box_loss: 1.14, conf_loss: 0.09, category_loss: 0.08
